input_grocery,normalized_item,match_level,product_category,typical_store_types,example_us_store_chains,match_confidence,needs_live_inventory_check,preferred_live_source,notes
ground beef,ground beef,generic,meat,"supermarket; supercenter; warehouse club; butcher","Kroger-family; Walmart Supercenter; Costco; Publix; local butcher",0.93,yes,"Instacart Developer Platform; retailer app/API","Fat percentage is essential for accurate matching."
salmon fillet,salmon fillet,generic,seafood,"supermarket; warehouse club; fish market; natural grocer","Kroger-family; Costco; Whole Foods Market; Sprouts; local fish market",0.88,yes,"Instacart Developer Platform; retailer app/API","Fresh seafood availability changes daily."
tofu,tofu,generic,refrigerated_plant_based,"supermarket; natural grocer; asian market","Kroger-family; Whole Foods Market; Trader Joe's; H Mart; 99 Ranch",0.90,yes,"Instacart Developer Platform; retailer app/API","Firmness and refrigerated vs shelf-stable form matter."
oat milk,oat milk,generic,dairy_alternative,"supermarket; supercenter; natural grocer; warehouse club","Kroger-family; Walmart Supercenter; Target; Whole Foods Market; Costco; Trader Joe's",0.92,yes,"Instacart Developer Platform; Kroger API","Shelf-stable and refrigerated versions should be matched separately."
almond milk,almond milk,generic,dairy_alternative,"supermarket; supercenter; natural grocer; warehouse club","Kroger-family; Walmart Supercenter; Target; Whole Foods Market; Costco; Aldi",0.92,yes,"Instacart Developer Platform; Kroger API","Flavor, sweetener, and refrigerated/shelf-stable status matter."
canned black beans,canned black beans,generic,canned_goods,"supermarket; supercenter; discount grocer; warehouse club; latino market","Kroger-family; Walmart Supercenter; Target; Aldi; Costco; local Mexican/Latino market",0.95,yes,"Instacart Developer Platform; Kroger API","Usually broadly available, but brand and can size still matter."
tomato paste,tomato paste,generic,canned_goods,"supermarket; supercenter; discount grocer; italian market","Kroger-family; Walmart Supercenter; Target; Aldi; local Italian market",0.94,yes,"Instacart Developer Platform; Kroger API","Tube vs can should be treated as separate product forms."
olive oil,olive oil,generic,pantry,"supermarket; supercenter; natural grocer; warehouse club; italian market","Kroger-family; Walmart Supercenter; Costco; Whole Foods Market; Trader Joe's; local Italian market",0.93,yes,"Instacart Developer Platform; Kroger API","Match extra-virgin/refined, origin, size, and brand."
peanut butter,peanut butter,generic,pantry,"supermarket; supercenter; warehouse club; discount grocer","Kroger-family; Walmart Supercenter; Target; Costco; Aldi",0.95,yes,"Instacart Developer Platform; Kroger API","Natural vs conventional and allergen claims affect matching."
jam,jam,generic,pantry,"supermarket; supercenter; natural grocer; farmers market","Kroger-family; Walmart Supercenter; Target; Whole Foods Market; local farmers market",0.90,yes,"Instacart Developer Platform; Kroger API","Flavor and sugar-free/organic variants should be separate."
cereal,cereal,generic,breakfast,"supermarket; supercenter; warehouse club; discount grocer","Kroger-family; Walmart Supercenter; Target; Costco; Aldi",0.94,yes,"Instacart Developer Platform; Kroger API","Brand and package size are critical."
rolled oats,rolled oats,generic,breakfast,"supermarket; supercenter; natural grocer; warehouse club","Kroger-family; Walmart Supercenter; Whole Foods Market; Costco; Trader Joe's",0.93,yes,"Instacart Developer Platform; Kroger API","Bulk bins and branded packages may need different identifiers."
coffee beans,coffee beans,generic,beverages,"supermarket; supercenter; warehouse club; coffee roaster; natural grocer","Kroger-family; Walmart Supercenter; Costco; Whole Foods Market; local coffee roaster",0.88,yes,"Instacart Developer Platform; retailer app/API","Ground/whole bean, roast, origin, and bag size determine matches."
sparkling water,sparkling water,generic,beverages,"supermarket; supercenter; warehouse club; discount grocer","Kroger-family; Walmart Supercenter; Target; Costco; Aldi",0.92,yes,"Instacart Developer Platform; Kroger API","Pack count and flavor are key fields."
frozen pizza,frozen pizza,generic,frozen_food,"supermarket; supercenter; warehouse club; discount grocer","Kroger-family; Walmart Supercenter; Target; Costco; Aldi",0.92,yes,"Instacart Developer Platform; Kroger API","Brand and dietary claims drive specific product choice."
ice cream,ice cream,generic,frozen_food,"supermarket; supercenter; warehouse club; discount grocer","Kroger-family; Walmart Supercenter; Target; Costco; Aldi",0.94,yes,"Instacart Developer Platform; Kroger API","Flavor, brand, pint vs tub, and dairy-free status matter."
soy sauce,soy sauce,generic,condiments,"supermarket; supercenter; asian market","Kroger-family; Walmart Supercenter; Target; H Mart; 99 Ranch",0.91,yes,"Instacart Developer Platform; retailer app/API","Asian markets usually have deeper brand, style, and size coverage."
miso paste,miso paste,generic,condiments,"asian market; natural grocer; supermarket","H Mart; 99 Ranch; Whole Foods Market; Kroger-family; local Japanese market",0.82,yes,"Instacart Developer Platform; retailer app/API","Specialty refrigerated item; local Asian groceries are often best."
gochujang,gochujang,generic,condiments,"asian market; supermarket; natural grocer","H Mart; 99 Ranch; Kroger-family; Whole Foods Market; local Korean market",0.82,yes,"Instacart Developer Platform; retailer app/API","Brand and heat level may vary by store."
tortillas,tortillas,generic,bakery,"supermarket; supercenter; latino market; warehouse club","Kroger-family; Walmart Supercenter; Costco; local Mexican/Latino market; Aldi",0.94,yes,"Instacart Developer Platform; Kroger API","Corn/flour, size, count, and fresh/local brands matter."
salsa,salsa,generic,condiments,"supermarket; supercenter; latino market; farmers market","Kroger-family; Walmart Supercenter; Target; local Mexican/Latino market; farmers market",0.91,yes,"Instacart Developer Platform; Kroger API","Fresh refrigerated and shelf-stable salsa need separate matching."
halal chicken,halal chicken,generic,meat,"halal market; supermarket; warehouse club","local halal market; Costco; Walmart Supercenter; select Kroger-family stores",0.74,yes,"Instacart Developer Platform; retailer app/API","Certification and store-level assortment are essential."
kosher salt,kosher salt,generic,baking_and_spices,"supermarket; supercenter; warehouse club","Kroger-family; Walmart Supercenter; Target; Costco; Safeway/Albertsons",0.92,yes,"Instacart Developer Platform; Kroger API","Brand and package size are usually the important differentiators."
baking powder,baking powder,generic,baking_and_spices,"supermarket; supercenter; discount grocer","Kroger-family; Walmart Supercenter; Target; Aldi; Safeway/Albertsons",0.94,yes,"Instacart Developer Platform; Kroger API","Stable pantry item with broad availability."
baby formula,baby formula,generic,baby,"supermarket; supercenter; pharmacy; warehouse club","Walmart Supercenter; Target; Kroger-family; Costco; CVS; Walgreens",0.82,yes,"Instacart Developer Platform; retailer app/API","High-risk availability category; always check live stock and substitutions."
paper towels,paper towels,generic,household,"supermarket; supercenter; warehouse club; pharmacy","Walmart Supercenter; Target; Costco; Kroger-family; Walgreens",0.90,yes,"Instacart Developer Platform; retailer app/API","Not food, but commonly included in grocery trips."
burger buns,burger buns,generic,bakery,"supermarket; supercenter; warehouse club; bakery","Kroger-family; Walmart Supercenter; Safeway/Albertsons; Costco; Aldi",0.94,yes,"Instacart Developer Platform; Kroger API","Count, sesame/plain style, and fresh bakery vs packaged buns should be matched."
hot dogs,hot dogs,generic,meat,"supermarket; supercenter; warehouse club; butcher","Kroger-family; Walmart Supercenter; Costco; Safeway/Albertsons; Publix",0.93,yes,"Instacart Developer Platform; retailer app/API","Beef, pork, turkey, and uncured claims should be separate attributes."
hot dog buns,hot dog buns,generic,bakery,"supermarket; supercenter; warehouse club; bakery","Kroger-family; Walmart Supercenter; Safeway/Albertsons; Costco; Aldi",0.94,yes,"Instacart Developer Platform; Kroger API","Pack count and top-sliced vs side-sliced style may matter."
chicken wings,chicken wings,generic,meat,"supermarket; supercenter; warehouse club; butcher","Kroger-family; Walmart Supercenter; Costco; Safeway/Albertsons; local butcher",0.91,yes,"Instacart Developer Platform; retailer app/API","Fresh vs frozen and split vs whole wings affect matching."
chicken drumsticks,chicken drumsticks,generic,meat,"supermarket; supercenter; warehouse club; butcher","Kroger-family; Walmart Supercenter; Costco; Safeway/Albertsons; Publix",0.92,yes,"Instacart Developer Platform; retailer app/API","Package weight and fresh/frozen status drive the final product match."
pork ribs,pork ribs,generic,meat,"supermarket; supercenter; warehouse club; butcher","Kroger-family; Walmart Supercenter; Costco; Safeway/Albertsons; local butcher",0.90,yes,"Instacart Developer Platform; retailer app/API","Baby back, spare ribs, and St. Louis cut should be matched separately."
bratwurst,bratwurst,generic,meat,"supermarket; supercenter; warehouse club; butcher","Kroger-family; Walmart Supercenter; Costco; Aldi; local butcher",0.89,yes,"Instacart Developer Platform; retailer app/API","Fresh vs pre-cooked and flavor variants matter."
italian sausage,italian sausage,generic,meat,"supermarket; supercenter; warehouse club; butcher; italian market","Kroger-family; Walmart Supercenter; Costco; Safeway/Albertsons; local Italian market",0.90,yes,"Instacart Developer Platform; retailer app/API","Sweet, mild, hot, link, and bulk sausage should be separate variants."
turkey burgers,turkey burgers,generic,meat,"supermarket; supercenter; warehouse club; natural grocer","Kroger-family; Walmart Supercenter; Costco; Whole Foods Market; Trader Joe's",0.88,yes,"Instacart Developer Platform; retailer app/API","Fresh patties and frozen patties often have different assortment coverage."
veggie burgers,veggie burgers,generic,frozen_plant_based,"supermarket; supercenter; natural grocer; warehouse club","Kroger-family; Walmart Supercenter; Target; Whole Foods Market; Costco; Trader Joe's",0.89,yes,"Instacart Developer Platform; Kroger API","Brand, vegan status, and gluten-free claims are important product fields."
black bean burgers,black bean burgers,generic,frozen_plant_based,"supermarket; supercenter; natural grocer; warehouse club","Kroger-family; Walmart Supercenter; Target; Whole Foods Market; Trader Joe's",0.87,yes,"Instacart Developer Platform; retailer app/API","Often sold frozen; brand and pack count matter."
plant-based hot dogs,plant-based hot dogs,generic,refrigerated_plant_based,"supermarket; natural grocer; supercenter","Whole Foods Market; Kroger-family; Walmart Supercenter; Target; Sprouts",0.84,yes,"Instacart Developer Platform; retailer app/API","Plant-based meat alternatives vary strongly by store."
gluten-free buns,gluten-free buns,generic,bakery,"supermarket; natural grocer; supercenter","Whole Foods Market; Kroger-family; Walmart Supercenter; Sprouts; Target",0.83,yes,"Instacart Developer Platform; Kroger API","Special-diet bakery items vary by neighborhood and shelf placement."
vegan cheese,vegan cheese,generic,dairy_alternative,"supermarket; natural grocer; supercenter","Whole Foods Market; Kroger-family; Walmart Supercenter; Target; Sprouts",0.84,yes,"Instacart Developer Platform; retailer app/API","Shreds, slices, blocks, and melt claims should be matched separately."
bbq sauce,bbq sauce,generic,condiments,"supermarket; supercenter; warehouse club; discount grocer","Kroger-family; Walmart Supercenter; Target; Costco; Aldi",0.94,yes,"Instacart Developer Platform; Kroger API","Flavor style, spice level, and bottle size should be matched."
ketchup,ketchup,generic,condiments,"supermarket; supercenter; warehouse club; discount grocer","Kroger-family; Walmart Supercenter; Target; Costco; Aldi",0.96,yes,"Instacart Developer Platform; Kroger API","Brand, organic, no-sugar, and bottle size are useful attributes."
mustard,mustard,generic,condiments,"supermarket; supercenter; warehouse club; discount grocer","Kroger-family; Walmart Supercenter; Target; Costco; Aldi",0.95,yes,"Instacart Developer Platform; Kroger API","Yellow, Dijon, spicy brown, and whole-grain styles should be distinct."
mayonnaise,mayonnaise,generic,condiments,"supermarket; supercenter; warehouse club; discount grocer","Kroger-family; Walmart Supercenter; Target; Costco; Aldi",0.94,yes,"Instacart Developer Platform; Kroger API","Regular, light, avocado-oil, vegan, and jar size should be separate fields."
pickles,pickles,generic,condiments,"supermarket; supercenter; warehouse club; deli","Kroger-family; Walmart Supercenter; Target; Costco; Safeway/Albertsons",0.92,yes,"Instacart Developer Platform; Kroger API","Spears, chips, dill, sweet, refrigerated, and shelf-stable variants matter."
ranch dressing,ranch dressing,generic,condiments,"supermarket; supercenter; warehouse club; discount grocer","Kroger-family; Walmart Supercenter; Target; Costco; Aldi",0.93,yes,"Instacart Developer Platform; Kroger API","Bottle size, refrigerated vs shelf-stable, and brand matter."
hot sauce,hot sauce,generic,condiments,"supermarket; supercenter; latino market; asian market","Kroger-family; Walmart Supercenter; Target; local Mexican/Latino market; H Mart",0.91,yes,"Instacart Developer Platform; retailer app/API","Brand and heat level drive user preference."
guacamole,guacamole,generic,refrigerated_dips,"supermarket; supercenter; warehouse club; latino market","Kroger-family; Walmart Supercenter; Costco; Whole Foods Market; local Mexican/Latino market",0.89,yes,"Instacart Developer Platform; retailer app/API","Fresh prepared dips and shelf-stable cups are different product forms."
queso dip,queso dip,generic,refrigerated_dips,"supermarket; supercenter; warehouse club; latino market","Kroger-family; Walmart Supercenter; Target; Costco; local Mexican/Latino market",0.88,yes,"Instacart Developer Platform; retailer app/API","Refrigerated, jarred, and spice level should be matched separately."
hummus,hummus,generic,refrigerated_dips,"supermarket; supercenter; natural grocer; warehouse club; middle eastern market","Kroger-family; Walmart Supercenter; Costco; Whole Foods Market; Trader Joe's; local Middle Eastern market",0.91,yes,"Instacart Developer Platform; retailer app/API","Flavor, organic claims, and tub size matter."
tortilla chips,tortilla chips,generic,snacks,"supermarket; supercenter; warehouse club; discount grocer; latino market","Kroger-family; Walmart Supercenter; Target; Costco; Aldi; local Mexican/Latino market",0.95,yes,"Instacart Developer Platform; Kroger API","Bag size, corn type, and restaurant-style vs scoop varieties matter."
potato chips,potato chips,generic,snacks,"supermarket; supercenter; warehouse club; discount grocer","Kroger-family; Walmart Supercenter; Target; Costco; Aldi",0.95,yes,"Instacart Developer Platform; Kroger API","Flavor, kettle style, and bag size are important."
pretzels,pretzels,generic,snacks,"supermarket; supercenter; warehouse club; discount grocer","Kroger-family; Walmart Supercenter; Target; Costco; Aldi",0.94,yes,"Instacart Developer Platform; Kroger API","Shape, salt level, gluten-free status, and bag size matter."
popcorn,popcorn,generic,snacks,"supermarket; supercenter; warehouse club; discount grocer","Kroger-family; Walmart Supercenter; Target; Costco; Aldi",0.94,yes,"Instacart Developer Platform; Kroger API","Microwave, ready-to-eat, kettle, and butter flavor should be separate."
bell peppers,bell peppers,generic,produce,"supermarket; supercenter; natural grocer; farmers market; latino market","Kroger-family; Walmart Supercenter; Whole Foods Market; Sprouts; local farmers market",0.93,yes,"Instacart Developer Platform; retailer app/API","Color mix, organic status, and loose vs packaged units matter."
zucchini,zucchini,generic,produce,"supermarket; supercenter; natural grocer; farmers market","Kroger-family; Walmart Supercenter; Whole Foods Market; Sprouts; local farmers market",0.93,yes,"Instacart Developer Platform; retailer app/API","Loose produce often needs weight-based matching."
mushrooms,mushrooms,generic,produce,"supermarket; supercenter; natural grocer; farmers market","Kroger-family; Walmart Supercenter; Costco; Whole Foods Market; Sprouts",0.92,yes,"Instacart Developer Platform; retailer app/API","White, cremini, portobello, sliced, and whole types should be distinct."
corn on the cob,corn on the cob,generic,produce,"supermarket; supercenter; farmers market; warehouse club","Kroger-family; Walmart Supercenter; Costco; local farmers market; Safeway/Albertsons",0.91,yes,"Instacart Developer Platform; retailer app/API","Fresh seasonal availability varies strongly by region."
potatoes,potatoes,generic,produce,"supermarket; supercenter; warehouse club; farmers market; discount grocer","Kroger-family; Walmart Supercenter; Costco; Aldi; local farmers market",0.95,yes,"Instacart Developer Platform; retailer app/API","Russet, gold, red, petite, and bag size should be attributes."
red onions,red onions,generic,produce,"supermarket; supercenter; natural grocer; farmers market","Kroger-family; Walmart Supercenter; Whole Foods Market; Aldi; local farmers market",0.94,yes,"Instacart Developer Platform; retailer app/API","Sold loose or bagged; weight and organic status matter."
tomatoes,tomatoes,generic,produce,"supermarket; supercenter; natural grocer; farmers market; latino market","Kroger-family; Walmart Supercenter; Whole Foods Market; Sprouts; local farmers market",0.94,yes,"Instacart Developer Platform; retailer app/API","Roma, beefsteak, vine, and organic variants should be separate."
cherry tomatoes,cherry tomatoes,generic,produce,"supermarket; supercenter; natural grocer; farmers market","Kroger-family; Walmart Supercenter; Whole Foods Market; Sprouts; Costco",0.93,yes,"Instacart Developer Platform; retailer app/API","Package size and organic status are important."
cucumbers,cucumbers,generic,produce,"supermarket; supercenter; natural grocer; farmers market","Kroger-family; Walmart Supercenter; Whole Foods Market; Sprouts; Aldi",0.94,yes,"Instacart Developer Platform; retailer app/API","English, Persian, mini, and conventional cucumbers should be matched separately."
baby carrots,baby carrots,generic,produce,"supermarket; supercenter; warehouse club; discount grocer","Kroger-family; Walmart Supercenter; Costco; Aldi; Target",0.94,yes,"Instacart Developer Platform; Kroger API","Bag size and organic claims matter."
veggie tray,veggie tray,generic,prepared_produce,"supermarket; supercenter; warehouse club; natural grocer","Kroger-family; Walmart Supercenter; Costco; Safeway/Albertsons; Whole Foods Market",0.86,yes,"Instacart Developer Platform; retailer app/API","Prepared trays are store-specific and availability changes daily."
fruit tray,fruit tray,generic,prepared_produce,"supermarket; supercenter; warehouse club; natural grocer","Kroger-family; Walmart Supercenter; Costco; Safeway/Albertsons; Whole Foods Market",0.86,yes,"Instacart Developer Platform; retailer app/API","Prepared trays should be checked live because size and assortment vary."
watermelon,watermelon,generic,produce,"supermarket; supercenter; warehouse club; farmers market","Kroger-family; Walmart Supercenter; Costco; Aldi; local farmers market",0.92,yes,"Instacart Developer Platform; retailer app/API","Whole vs cut watermelon and seasonal supply should be separate."
strawberries,strawberries,generic,produce,"supermarket; supercenter; natural grocer; warehouse club; farmers market","Kroger-family; Walmart Supercenter; Costco; Whole Foods Market; Sprouts; local farmers market",0.93,yes,"Instacart Developer Platform; retailer app/API","Clamshell size, organic status, and ripeness vary."
grapes,grapes,generic,produce,"supermarket; supercenter; warehouse club; natural grocer","Kroger-family; Walmart Supercenter; Costco; Whole Foods Market; Aldi",0.93,yes,"Instacart Developer Platform; retailer app/API","Red, green, black, seedless, and organic should be separate attributes."
potato salad,potato salad,generic,deli_prepared,"supermarket; supercenter; warehouse club; deli","Kroger-family; Walmart Supercenter; Costco; Safeway/Albertsons; Publix",0.88,yes,"Instacart Developer Platform; retailer app/API","Prepared deli items are store-specific and need live availability checks."
coleslaw mix,coleslaw mix,generic,produce,"supermarket; supercenter; warehouse club; discount grocer","Kroger-family; Walmart Supercenter; Target; Costco; Aldi",0.92,yes,"Instacart Developer Platform; Kroger API","Bag size and dressing-included kits should be separate."
pita bread,pita bread,generic,bakery,"supermarket; supercenter; middle eastern market; natural grocer","Kroger-family; Walmart Supercenter; Whole Foods Market; Trader Joe's; local Middle Eastern market",0.88,yes,"Instacart Developer Platform; retailer app/API","Fresh bakery and packaged pita often differ by store."
falafel,falafel,generic,frozen_food,"supermarket; natural grocer; middle eastern market; warehouse club","Whole Foods Market; Trader Joe's; Kroger-family; local Middle Eastern market; Costco",0.82,yes,"Instacart Developer Platform; retailer app/API","Frozen, refrigerated, and prepared falafel should be separate."
naan,naan,generic,bakery,"supermarket; supercenter; indian market; natural grocer","Kroger-family; Walmart Supercenter; Whole Foods Market; Trader Joe's; Patel Brothers; local Indian market",0.87,yes,"Instacart Developer Platform; retailer app/API","Fresh, frozen, garlic, and mini naan forms matter."
pizza dough,pizza dough,generic,refrigerated_bakery,"supermarket; natural grocer; italian market; bakery","Kroger-family; Whole Foods Market; Trader Joe's; Safeway/Albertsons; local Italian market",0.84,yes,"Instacart Developer Platform; retailer app/API","Fresh dough is often store-specific and needs live availability checks."
mozzarella cheese,mozzarella cheese,generic,dairy,"supermarket; supercenter; warehouse club; italian market","Kroger-family; Walmart Supercenter; Costco; Safeway/Albertsons; local Italian market",0.93,yes,"Instacart Developer Platform; Kroger API","Fresh, shredded, sliced, and low-moisture forms should be separate."
pepperoni,pepperoni,generic,deli_meat,"supermarket; supercenter; warehouse club; italian market","Kroger-family; Walmart Supercenter; Target; Costco; local Italian market",0.92,yes,"Instacart Developer Platform; Kroger API","Cup-and-char, sliced, stick, and turkey pepperoni should be separate."
marinara sauce,marinara sauce,generic,pantry,"supermarket; supercenter; italian market; warehouse club","Kroger-family; Walmart Supercenter; Target; Costco; local Italian market",0.94,yes,"Instacart Developer Platform; Kroger API","Jar size, brand, organic, and low-sugar claims matter."
lemonade,lemonade,generic,beverages,"supermarket; supercenter; warehouse club; discount grocer","Kroger-family; Walmart Supercenter; Target; Costco; Aldi",0.93,yes,"Instacart Developer Platform; Kroger API","Refrigerated, shelf-stable, powder mix, and flavor variants should be distinct."
iced tea,iced tea,generic,beverages,"supermarket; supercenter; warehouse club; discount grocer","Kroger-family; Walmart Supercenter; Target; Costco; Aldi",0.92,yes,"Instacart Developer Platform; Kroger API","Sweetened, unsweetened, bottled, jug, and tea-bag formats differ."
soda,soda,generic,beverages,"supermarket; supercenter; warehouse club; discount grocer","Kroger-family; Walmart Supercenter; Target; Costco; Aldi",0.94,yes,"Instacart Developer Platform; Kroger API","Brand, flavor, can vs bottle, and pack count are core attributes."
bottled water,bottled water,generic,beverages,"supermarket; supercenter; warehouse club; discount grocer; pharmacy","Kroger-family; Walmart Supercenter; Costco; Target; Aldi; Walgreens",0.95,yes,"Instacart Developer Platform; Kroger API","Pack count, bottle size, spring vs purified, and still vs sparkling matter."
juice boxes,juice boxes,generic,beverages,"supermarket; supercenter; warehouse club; discount grocer","Kroger-family; Walmart Supercenter; Target; Costco; Aldi",0.91,yes,"Instacart Developer Platform; Kroger API","Flavor, sugar claims, and pack count should be matched."
beer,beer,generic,alcohol,"supermarket; supercenter; warehouse club; liquor store","Kroger-family; Walmart Supercenter; Costco; Total Wine; local liquor store",0.82,yes,"retailer app/API; alcohol marketplace where legal","Age restrictions, local laws, brand, style, and pack count require live checks."
wine,wine,generic,alcohol,"supermarket; warehouse club; liquor store; natural grocer","Kroger-family; Costco; Total Wine; Whole Foods Market; local wine shop",0.80,yes,"retailer app/API; alcohol marketplace where legal","Age restrictions, vintage, varietal, bottle size, and local laws matter."
ice,ice,generic,frozen,"supermarket; supercenter; warehouse club; convenience store","Kroger-family; Walmart Supercenter; Costco; 7-Eleven; Safeway/Albertsons",0.90,yes,"retailer app/API","Bag size and store freezer availability vary."
paper plates,paper plates,generic,household,"supermarket; supercenter; warehouse club; pharmacy; dollar store","Walmart Supercenter; Target; Costco; Kroger-family; Dollar General",0.92,yes,"Instacart Developer Platform; retailer app/API","Count, compostable claims, and plate size matter."
plastic cups,plastic cups,generic,household,"supermarket; supercenter; warehouse club; pharmacy; dollar store","Walmart Supercenter; Target; Costco; Kroger-family; Dollar General",0.92,yes,"Instacart Developer Platform; retailer app/API","Count, ounce size, clear vs colored, and compostable claims matter."
napkins,napkins,generic,household,"supermarket; supercenter; warehouse club; pharmacy; dollar store","Walmart Supercenter; Target; Costco; Kroger-family; Dollar General",0.93,yes,"Instacart Developer Platform; retailer app/API","Count, dinner vs beverage napkin size, and color matter."
aluminum foil,aluminum foil,generic,household,"supermarket; supercenter; warehouse club; pharmacy","Walmart Supercenter; Target; Costco; Kroger-family; Safeway/Albertsons",0.93,yes,"Instacart Developer Platform; Kroger API","Roll length, heavy-duty claims, and width matter."
charcoal,charcoal,generic,grilling_supplies,"supermarket; supercenter; warehouse club; hardware store","Walmart Supercenter; Costco; Kroger-family; Home Depot; Lowe's",0.86,yes,"retailer app/API","Seasonal stock, briquettes vs lump charcoal, and bag weight matter."
propane tank,propane tank,generic,grilling_supplies,"supercenter; warehouse club; hardware store; gas station","Walmart Supercenter; Costco; Home Depot; Lowe's; local gas station",0.72,yes,"retailer app/API","Exchange availability, deposit rules, and local store services vary."
